,product_id,product_name,label
478,479,Most Wanted Cabernet Sauvignon Red Wine,A
566,567,Malbec Red Wine,D
579,580,Washington State Merlot,G
597,598,Cabernet Sauvignon California,A
836,837,California Merlot,A
926,927,"Cabernet Sauvignon, Central Coast, 2011",H
1344,1345,"Merlot, Alexander Valley, Sonoma County, 2009",G
1689,1690,Platinum Merlot,G
1698,1699,Jumilla Red Wine,C
1716,1717,Very Dry Sherry,C
1915,1916,Merlot Wine,G
2048,2049,Malbec Mendoza,D
2386,2387,Pinot Noir Monterey,F
2418,2419,Bristol Cream Sherry,C
2902,2903,Sweet Red,D
3148,3149,Meritage Wine,A
3214,3215,Coastal Pinot Noir,F
3323,3324,Diablo Cabernet,A
3368,3369,"Pinot Noir, Vin de Pays d'Oc, 2006",F
3460,3461,Organic Mendocino Cabernet Sauvignon,A
3496,3497,"Grape Wine, Delicious Red",E
3631,3632,Kenwood Cabernet Sauvignon Sonoma Valley 750 Ml,A
3744,3745,Cabernet Sauvignon Alexander Valley,A
3827,3828,Midnight California Dark Red Wine Blend,A
3979,3980,Malbec 2013,D
4163,4164,Rioja Tempranillo,C
4236,4237,"Pinot Noir, California, 2011",A
4739,4740,Decoy Red,G
5500,5501,California Cabernet Sauvignon Wine,A
5720,5721,Vintner's Reserve Zinfandel 2012,B
5753,5754,Chianti Riserva Wine,E
5774,5775,"Pinot Noir, California 2010",A
5809,5810,"Chianti Classico, 2006",E
5867,5868,Russian River Valley Reserve Pinot Noir,F
5952,5953,"Zin, Old Vine, Lodi, 2008",B
6057,6058,Cabernet Sauvignon Sonoma County,A
6136,6137,Merlot,G
6523,6524,"Moscato, D'Asti, DOCG, 2011",G
6877,6878,Red Blend,G
6894,6895,Director's Cut Pinot Noir,F
7107,7108,Napa Valley Cabernet Sauvignon,A
7447,7448,Chardonnay Y Block Santa Barbara,F
7698,7699,Cardinal Zin Beastly Old Vines Zinfandel,B
7716,7717,"Red Wine, Dark, California, 2013",A
7890,7891,Pinot Noir California,A
8818,8819,"Stella Rosso, Semi-Sweet",B
8920,8921,"Cabernet Sauvignon, North Coast, 2011",A
